code,date,open,high,low,close,volume
511010.SH,20260708,140.713,140.807,140.713,140.799,314106
511010.SH,20260709,140.8,140.813,140.764,140.771,96245
511010.SH,20260710,140.772,140.793,140.76,140.782,188520
511010.SH,20260713,140.782,140.817,140.765,140.775,138857
511010.SH,20260714,140.785,140.815,140.738,140.798,51834
511010.SH,20260715,140.798,140.822,140.768,140.819,34878
511010.SH,20260716,140.819,140.822,140.765,140.789,35007
511010.SH,20260717,140.788,140.84,140.769,140.812,33700
511010.SH,20260720,140.812,140.83,140.743,140.815,43703
511010.SH,20260721,140.814,140.828,140.785,140.824,196830
511010.SH,20260722,140.822,140.915,140.8,140.899,68477
511010.SH,20260723,140.9,140.98,140.845,140.867,192811
511010.SH,20260724,140.869,140.899,140.84,140.874,57626
511010.SH,20260727,140.874,140.888,140.818,140.841,42748
511010.SH,20260728,140.843,140.861,140.811,140.832,50936
511010.SH,20260729,140.821,140.85,140.802,140.827,74226
511010.SH,20260730,140.823,140.86,140.818,140.853,72295
511010.SH,20260731,140.85,140.972,140.85,140.97,16707
511010.SH,20260803,140.993,141.048,140.94,140.957,113217
511010.SH,20260804,140.957,141.009,140.956,140.991,30847
511010.SH,20260805,141.004,141.031,140.984,141.0,106502
511010.SH,20260806,141.011,141.03,140.983,141.015,162068
511010.SH,20260807,141.015,141.086,140.994,141.086,228398
511010.SH,20260810,141.1,141.117,141.042,141.101,61330
511010.SH,20260811,141.1,141.103,141.065,141.07,52086
511010.SH,20260812,141.07,141.1,141.026,141.084,95334
511010.SH,20260813,141.104,141.14,141.08,141.131,192976
511010.SH,20260814,141.133,141.185,141.129,141.18,110966
511010.SH,20260817,141.181,141.255,141.176,141.217,37391
